,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
1,Kudratillo Abdukakhorov,Uzbekistan,31,177,orthodox,Super Welterweight,20,12,60,4,0,2015
2,Masood Abdulah,United Kingdom,31,170,orthodox,Featherweight,11,7,64,0,0,2021
3,Zaur Abdullaev,Russian Federation,30,175,orthodox,Lightweight,20,12,60,1,0,2017
4,Arthur Abraham,Armenia,44,175,orthodox,Super Middleweight,47,30,64,6,0,2003
5,Tomasz Adamek,Poland,48,187,orthodox,Heavyweight,53,31,58,6,0,1999
6,Carlos Adames,Dominican Republic,30,180,orthodox,Middleweight,24,18,75,1,0,2015
7,Brandon Adams,United States,35,175,orthodox,Super Welterweight,25,16,64,4,0,2011
8,David Adeleye,United Kingdom,28,194,orthodox,Heavyweight,13,12,92,1,0,2019
9,Joseph Adorno,United States,25,168,orthodox,Lightweight,18,15,83,4,2,2016
10,Caoimhin Agyarko,Ireland,28,181,orthodox,Middleweight,15,7,47,0,0,2018
11,Efe Ajagba,Nigeria,30,196,orthodox,Heavyweight,20,14,70,1,0,2017
12,Artur Akavov,Russian Federation,37,176,southpaw,Middleweight,20,9,45,4,0,2011
13,Murodjon Akhmadaliev,Uzbekistan,30,166,southpaw,Super Bantamweight,13,10,77,1,0,2018
14,Batyr Akhmedov,Uzbekistan,34,172,southpaw,Welterweight,10,9,90,4,0,2017
15,Ali Akhmedov,Kazakhstan,29,185,orthodox,Super Middleweight,22,16,73,1,0,2016
16,Seigo Yuri,Japan,29,163,orthodox,Flyweight,21,11,52,2,1,2014
17,Gabriela Celeste,Argentina,28,152,orthodox,Flyweight,15,6,40,2,0,2018
18,Raeese Aleem,United States,34,168,orthodox,Featherweight,21,12,57,1,0,2011
19,Jevgenijs Aleksejevs,Latvia,31,183,orthodox,Middleweight,16,9,56,0,0,2013
20,Devon Alexander,United States,37,174,orthodox,Welterweight,27,14,52,6,1,2004
21,Chris Algieri,United States,40,178,orthodox,Welterweight,25,9,36,3,0,2008
22,Janibek Alimkhanuly,Kazakhstan,31,182,southpaw,Middleweight,16,11,69,0,0,2016
23,Dave Allen,United Kingdom,32,191,orthodox,Heavyweight,23,18,78,7,2,2012
24,Mikhail Aloyan,Armenia,36,164,orthodox,Super Flyweight,7,1,14,1,0,2017
25,Rene Alvarado,Nicaragua,35,170,orthodox,Super Featherweight,34,22,65,14,0,2008
26,Felix Alvarado,Nicaragua,35,163,orthodox,Flyweight,42,35,83,4,0,2010
27,Eleider Alvarez,Colombia,40,183,orthodox,Light Heavyweight,25,13,52,2,0,2009
28,Jerwin Ancajas,Philippines,32,168,orthodox,Featherweight,35,23,66,4,2,2009
29,Jared Anderson,United States,25,193,orthodox,Heavyweight,17,15,88,1,0,2019
30,Demetrius Andrade,United States,36,185,southpaw,Super Middleweight,32,19,59,1,0,2008
31,Roman Andreev,Russian Federation,38,172,orthodox,Lightweight,25,17,68,1,0,2008
32,Samuel Antwi,United Kingdom,33,173,orthodox,Super Welterweight,17,8,47,2,0,2015
33,Jaime Arboleda,Panama,30,177,orthodox,Lightweight,19,14,74,3,0,2014
34,Jack Arnfield,United Kingdom,35,188,orthodox,Super Middleweight,26,6,23,4,0,2007
35,Chris Arreola,United States,43,191,orthodox,Heavyweight,38,33,87,7,1,2003
36,McJoe Arroyo,Puerto Rico,39,163,southpaw,Super Flyweight,18,8,44,3,0,2010
37,McWilliams Arroyo,Puerto Rico,39,163,orthodox,Flyweight,21,16,76,4,0,2010
38,Lyndon Arthur,United Kingdom,33,188,orthodox,Light Heavyweight,24,16,67,2,0,2016
39,Matty Askin,United Kingdom,36,193,orthodox,Cruiserweight,23,15,65,4,1,2008
40,Vincent Astrolabio,Philippines,27,165,orthodox,Bantamweight,19,14,74,5,0,2015
41,Chris Avalos,United States,35,170,orthodox,Super Bantamweight,27,20,74,8,0,2008
42,David Avanesyan,Russian Federation,36,173,orthodox,Welterweight,31,19,61,5,1,2009
